source_id,source_type,title,url,published_at,accessed_at,authority_level,client_sync_status,notes
SRC-0001,deadlock_wiki_patch,Minor Update - 08-22-2026,"https://deadlock.wiki/Update:August_22,_2026",2026-08-22T22:56:15Z,2026-09-02T09:17:55Z,primary_community_wiki,latest_patch_verified,Neuester verifizierter Patch. Wiki-Revision 114029.
SRC-0002,official_valve,Minor Update - 08-22-2026,https://steamcommunity.com/games/1422450/announcements/detail/676255623445218602,2026-08-22,2026-09-02T09:17:55Z,official_primary,current,Offizielle Valve-Patchmeldung. Von SRC-0001 als offizielle Quelle verlinkt; Titel und Redirect am 2026-09-02 geprüft.
SRC-0003,deadlock_wiki_page,Updates,https://deadlock.wiki/Updates,2026-08-28T21:19:53Z,2026-09-02T09:17:55Z,primary_community_wiki,current_index,Update-Index. Wiki-Revision 122558.
SRC-0004,deadlock_wiki_data,Data:ItemData.json,https://deadlock.wiki/Data:ItemData.json,2026-08-22T21:50:05Z,2026-09-02T09:17:55Z,primary_structured_wiki,verified_against_latest_patch,Strukturierte Item-Daten. Wiki-Revision 114013.
SRC-0005,deadlock_wiki_data,Data:Lang en.json,https://deadlock.wiki/Data:Lang_en.json,2026-08-22T21:50:07Z,2026-09-02T09:17:55Z,primary_structured_wiki,same_export_batch_as_item_data,Item-Bezeichnungen und Einheiten. Wiki-Revision 114015.
SRC-0006,deadlock_wiki_page,Items,https://deadlock.wiki/Items,2026-08-26T00:28:57Z,2026-09-02T09:17:55Z,primary_community_wiki,current_post_patch,Item-Übersicht. Wiki-Revision 114920.
SRC-0007,deadlock_wiki_page,The Curiosity Shop,https://deadlock.wiki/The_Curiosity_Shop,2026-07-17T21:44:56Z,2026-09-02T09:17:55Z,primary_community_wiki,current_no_later_relevant_patch,Shop-Regeln. Wiki-Revision 94452.
SRC-0008,deadlock_wiki_data,Data:ItemInvestmentData.json,https://deadlock.wiki/Data:ItemInvestmentData.json,2026-07-28T00:13:35Z,2026-09-02T09:17:55Z,primary_structured_wiki,current_rendered_post_patch,Kategorie-Investments. Wiki-Revision 103902.
SRC-0009,deadlock_wiki_page,Extra Slots,https://deadlock.wiki/Extra_Slots,2026-02-27T23:20:06Z,2026-09-02T09:17:55Z,primary_community_wiki,current_no_later_relevant_patch,Extra-Slot-Freischaltungen. Wiki-Revision 60786.
SRC-0010,deadlock_wiki_data,Data:NpcData.json,https://deadlock.wiki/Data:NpcData.json,2026-07-06T22:39:58Z,2026-09-02T09:17:55Z,primary_structured_wiki,pre_patch_snapshot_cross_checked_with_pages,Strukturierte Objective-/NPC-Daten. Wiki-Revision 88917.
